,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
3687,surface plankton,plankton,,provided by Brian Hayden et al. 2018-06-08
3688,suspended organic matter,organic material,,suggest to use ENVO term label
3689,suspension-feeding invertebrates,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3690,Suwalia,Plecoptera,,mapping provided by Brian Hayden
3691,S. vomer,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3692,swimming decapod crustaceans,crustacea,,provided by Brian Hayden et al. 2018-06-08
3693,Sygyzium,Syzygium,,provided by Brian Hayden et al. 2018-06-08
3694,Synacium papillosum,Syacium papillosum,http://eol.org/pages/211652,provided by Anne Thessen on 2015-06-05
3695,Synalphaeus sp.,Synalpheus,Simons 1997,
3696,Synalpheus fritzmulleri,Synalpheus fritzmuelleri,EOL; js,probably a spelling error or change in spelling by taxonomists
3697,Synalpheus pandionensis,Synalpheus pandionis,EOL; js,probably a spelling error or change in spelling by taxonomists
3698,Synaphrobranchus oregoni,Synaphobranchus oregoni,http://eol.org/pages/222124,provided by Anne Thessen on 2015-06-05
3699,Synathus louisanae,Syngnathus louisanae,,
3700,Synchelydium maculatum,Synchelidium maculatum,,provided by Brian Hayden et al. 2018-06-08
3701,Syndesmia,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3702,Syn foetens,Synodus foetens,,
3703,Syngathus louisianae,Syngnathus louisanae,,
3704,syngnathid,Syngnathidae,,provided by Brian Hayden et al. 2018-06-08
3705,Syngnathus louisanae,Syngnathus louisianae,,
3706,SYNGNTHIDAE,Syngnathidae,,provided by Brian Hayden et al. 2018-06-08
3707,Synidothea nebulosa,Synidotea nebulosa,,provided by Brian Hayden et al. 2018-06-08
3708,Synodus poey,Synodus poeyi,,
3709,Synopiidae Genus A,Synopiidae,Simons 1997,Genus A
3710,Synthemid,Synthemistidae,,provided by Brian Hayden et al. 2018-06-08
3711,systematic groups,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3712,S. zonata,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3713,Tabanid,Tabanidae,,provided by Brian Hayden et al. 2018-06-08
3714,Tachysphex nitidus s.s.,Tachysphex nitidus s.s.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tachysphex%20nitidus%20s.s.&spKey=NHMSYS0000876732
3715,Tachysphex unicolor s.s.,Tachysphex unicolor s.s.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tachysphex%20unicolor%20s.s.&spKey=NHMSYS0000873269
3716,tadpoles,anura,,provided by Brian Hayden et al. 2018-06-08
3717,Tadpoles,anura,,provided by Brian Hayden et al. 2018-06-08
3718,tailor ants,Oecophylla,,provided by Brian Hayden et al. 2018-06-08
3719,talitroids,talitroides,,provided by Brian Hayden et al. 2018-06-08
3720,Tanaeidacea,Tanaidacea,,provided by Brian Hayden et al. 2018-06-08
3721,Tanaidea,Tanaidacea,,provided by Brian Hayden et al. 2018-06-08
3722,Tanaidaceae,Tanaidacea,,provided by Jorrit Poelen 2018-06-28
3723,Tanaid isopods,Tanaidacea,,provided by Brian Hayden et al. 2018-06-08
3724,tanaid,Tanaidacea,,provided by Brian Hayden et al. 2018-06-08
3725,Tanganycia rufofilosa,Tanganyicia rufofilosa,,provided by Brian Hayden et al. 2018-06-08
3726,Tanid isopods,Tanaidacea,,provided by Brian Hayden et al. 2018-06-08
3727,Tanitarsini,Tanytarsini,,provided by Brian Hayden et al. 2018-06-08
3728,Tanner crabs,Chionoecetes bairdi,,provided by Brian Hayden et al. 2018-06-08
3729,Tanutarsus,Tanytarsus,,provided by Brian Hayden et al. 2018-06-08
3730,tanypinids,Tanypodinae,,provided by Brian Hayden et al. 2018-06-08
3731,Tanypod,Tanypodinae,,provided by Brian Hayden et al. 2018-06-08
3732,Tanytarsus inextensus,Tanytarsus,,provided by Brian Hayden et al. 2018-06-08
3733,tapeworm,Cestoda,,provided by Brian Hayden et al. 2018-06-08
3734,Taralea oppsitifolia,Taralea oppositifolia,,provided by Brian Hayden et al. 2018-06-08
3735,Tar ball,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3736,Tarpon alanticus,Megalops atlanticus,,provided by Brian Hayden et al. 2018-06-08
3737,Tasimiid,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3738,Tasmasia acuta,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3739,taxa,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3740,Taxilus limprichtii,Taxillus limprichtii,JRFerrisParisButterflies,Found at:  http://data.gbif.org/species/7287901/
3741,Tecameba,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3742,Tecticeps glaber,Tecticipitidae,,provided by Brian Hayden et al. 2018-06-08
3743,Tecticeps renoculis,Tecticipitidae,,provided by Brian Hayden et al. 2018-06-08
3744,teleost,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3745,Teleost,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3746,Teleoste,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3747,teleostean,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3748,teleostei,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3749,Teleosti,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3750,teleosts,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3751,Teleosts,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3752,Teleost scales,Teleostei,,
3753,teleosts/molluscs/crustaceans,Animalia,Barnes 2008,
3754,Tellin acapsoides,Tellinidae,,provided by Brian Hayden et al. 2018-06-08
3755,Tellina myaformis,Psammacoma myaeformis,,provided by Brian Hayden et al. 2018-06-08
3756,Tellinids,Tellinidae,,provided by Brian Hayden et al. 2018-06-08
3757,Telmesses cheiragonus,Telmessus cheiragonus,,provided by Brian Hayden et al. 2018-06-08
3758,tendepedid,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
3759,tendipedid,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
3760,Tendipedids,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
3761,tenebrionid beetles,Terebellides,,provided by Brian Hayden et al. 2018-06-08
3762,terebellid polychaetes,Terebellides,,provided by Brian Hayden et al. 2018-06-08
3763,Terebellid polychaetes,Terebellides,,provided by Brian Hayden et al. 2018-06-08
3764,terebellids,Terebellides,,provided by Brian Hayden et al. 2018-06-08
3765,terebellid tentacles,Terebellides,,provided by Brian Hayden et al. 2018-06-08
3766,terns - shorebirds,Sternidae,,provided by Brian Hayden et al. 2018-06-08
3767,terrebelid worms,Terebellides,,provided by Brian Hayden et al. 2018-06-08
3768,Terreblides stroemi,Terebellides stroemii,,provided by Brian Hayden et al. 2018-06-08
3769,terrest. collembolans,Collembola,,provided by Brian Hayden et al. 2018-06-08
3770,terrest. Hymenopterans,Hymenoptera,,provided by Brian Hayden et al. 2018-06-08
3771,Terrestial invertebrates,Animalia,,
3772,terrestrial-detritus,Detritus,,
3773,Terrestrial invertebrate,Animalia,,
3774,Terrestrial invertebrates,Animalia,,
3775,terrestrial plants,Embryophyta,,Term corrected to scientific notation by BrianHayden
3776,terrestrials insect,Insecta,,provided by Brian Hayden et al. 2018-06-08
3777,Terrestrial vegetation,Plantae,,mapping provided by Brian Hayden
3778,terrrestrial insect,Insecta,,provided by Brian Hayden et al. 2018-06-08
3779,Tertaria,Tetraliidae,,provided by Brian Hayden et al. 2018-06-08
3780,Testate amoeba,Protistae,,mapping provided by Brian Hayden
3781,Tetaxanthus,Cichlidae,,provided by Brian Hayden et al. 2018-06-08
3782,Tethygaster sp.,Tethyaster,Torruco and Gonzalez 1994,
3783,Tethygenia naigo,Tethygeneia nalgo,,provided by Brian Hayden et al. 2018-06-08
3784,Tetradontidae,Tetraodontidae,,provided by Brian Hayden et al. 2018-06-08
3785,Tetragonopteros,Tetragonopterus,,provided by Brian Hayden et al. 2018-06-08
3786,Tetraleberidini,Ostracoda,,mapping provided by Brian Hayden
3787,Tetralia globerrina,Tetralia glaberrima,,provided by Brian Hayden et al. 2018-06-08
3788,Tetrapgus niger,Tetrapygus niger,,provided by Brian Hayden et al. 2018-06-08
3789,Tetraphyllidae,Tetraphyllidea,,assumed typo
3790,tetraphyllidean larva,Tetraphyllidea,Hechinger 2011,replaced with scientific name using https://en.wikipedia.org/wiki/Tetraphyllidea
3791,tetraphyllidean,Tetraphyllidea,Hechinger 2011,replaced with scientific name using https://en.wikipedia.org/wiki/Tetraphyllidea
3792,Tetrapigus niger,Tetrapygus niger,,provided by Brian Hayden et al. 2018-06-08
3793,Teuthidida,Teuthida,,provided by Brian Hayden et al. 2018-06-08
3794,Teuthididia,Teuthida,http://eol.org/pages/2336,provided by Anne Thessen on 2015-06-05
3795,teuthoids,Teuthida,,provided by Brian Hayden et al. 2018-06-08
3796,Thais hemastoma,Thais haemastoma,Torruco and Gonzalez 1994,Found at:  http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=73312
3797,Thalamita prymma,Thalamita prymna,,provided by Brian Hayden et al. 2018-06-08
3798,thalasinnid shrimps,Thalassinidea,,provided by Brian Hayden et al. 2018-06-08
3799,Thalassia testudineus,Thalassia testudinum,,provided by Brian Hayden et al. 2018-06-08
3800,Thalassia testudinium,Thalassia testudinum,,provided by Brian Hayden et al. 2018-06-08
3801,Thalassiotrix sp.,Thalassiothrix,Vega-Cendejas 1998,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=
3802,thaliaceans,Thaliacea,,provided by Brian Hayden et al. 2018-06-08
3803,Thaliacea,Thaliacea,,provided by Brian Hayden et al. 2018-06-08
3804,Thalia tunicates,Thalia democratica,,provided by Brian Hayden et al. 2018-06-08
3805,Thallomita,Algae,,provided by Brian Hayden et al. 2018-06-08
3806,thallose algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3807,thecamoebas,Thecamoeba,,provided by Brian Hayden et al. 2018-06-08
3808,Thecosomota,Thecosomata,,provided by Brian Hayden et al. 2018-06-08
3809,the fishes,Vertebrata,,provided by Brian Hayden et al. 2018-06-08
3810,Thelotha helsenii,Crustacea,,provided by Brian Hayden et al. 2018-06-08
3811,Themisto guadichaudii,Themisto gaudichaudii,,provided by Brian Hayden et al. 2018-06-08
3812,Thienemaniella,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
3813,Thoralus chranchii,Thoralus cranchii,,provided by Brian Hayden et al. 2018-06-08
3814,Thracia payracea,Thracia papyracea,,provided by Brian Hayden et al. 2018-06-08
3815,Thunninae,Thunnini,,inconsistent name from SPIRE resource
3816,thyasirids,Thyasiridae,,provided by Brian Hayden et al. 2018-06-08
3817,Thysanoessa furcilia,Thysanoessa,,provided by Brian Hayden et al. 2018-06-08
3818,Thysanoessa japonica,Thysanoessa,,provided by Brian Hayden et al. 2018-06-08
3819,Thysanoessa libellula,Thysanoessa,,provided by Brian Hayden et al. 2018-06-08
3820,Thysanoessa longicauda,Thysanoessa longicaudata,,provided by Brian Hayden et al. 2018-06-08
3821,Thysanoessa rasschii,Thysanoessa,,provided by Brian Hayden et al. 2018-06-08
3822,Thysanoessa spinefera,Thysanoessa spinifera,,provided by Brian Hayden et al. 2018-06-08
3823,thysanopterans,Insecta,,provided by Brian Hayden et al. 2018-06-08
3824,thysanurans,Insecta,,provided by Brian Hayden et al. 2018-06-08
3825,Thyzanoessa raschii,Thysanoessa rauschii,,provided by Brian Hayden et al. 2018-06-08
3826,tidewater silversides,Therinopsidae,,provided by Brian Hayden et al. 2018-06-08
3827,tilapias,Cichlidae,,provided by Brian Hayden et al. 2018-06-08
3828,Tilapia zilii,Tilapia zillii,,provided by Brian Hayden et al. 2018-06-08
3829,tilapiine cichlids,Cichlidae,,provided by Brian Hayden et al. 2018-06-08
3830,tilapine fishes,Cichlidae,,provided by Brian Hayden et al. 2018-06-08
3831,Tilapines,Cichlidae,,provided by Brian Hayden et al. 2018-06-08
3832,tintinids,Tintinnida,,provided by Brian Hayden et al. 2018-06-08
3833,tintinnids,Tintinnida,,provided by Brian Hayden et al. 2018-06-08
3834,Tintinnid,Tintinnida,,as discussed with author Dr. Carolyn Barnes
3835,Tipulidae or,Tipulidae,,provided by Brian Hayden et al. 2018-06-08
3836,Tipulid,Tipulidae,,provided by Brian Hayden et al. 2018-06-08
3837,Tipuliforms,Tipulidae,,provided by Brian Hayden et al. 2018-06-08
3838,tiwgs,angiosperms,,provided by Brian Hayden et al. 2018-06-08
3839,Tmetomyx,Tmetonyx,,provided by Brian Hayden et al. 2018-06-08
3840,Tmetonix,Tmetonyx,,provided by Brian Hayden et al. 2018-06-08
3841,toads/frogs,Anura,,Term corrected to scientific notation by BrianHayden
3842,top,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3843,Total,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3844,Totarodes,Ommastrephidae,,provided by Brian Hayden et al. 2018-06-08
3845,tough,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3846,Trachiurus japonica,Trachurus japonicus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=642012,suspected typo
3847,Trachypenaeus brevisuturae,Trachypenaeus,,provided by Brian Hayden et al. 2018-06-08
3848,Trachypeneus constrictus,Trachypenaeus,,provided by Brian Hayden et al. 2018-06-08
3849,Trachypennaeus brevisuturae,Trachypenaeus,,provided by Brian Hayden et al. 2018-06-08
3850,Transenella tantilla,Nutricola tantilla,,provided by Brian Hayden et al. 2018-06-08
3851,trees,angiosperms,,provided by Brian Hayden et al. 2018-06-08
3852,tree trunks,angiosperms,,provided by Brian Hayden et al. 2018-06-08
3853,trematodes,Trematoda,,provided by Brian Hayden et al. 2018-06-08
3854,trematods,Trematoda,,provided by Brian Hayden et al. 2018-06-08
3855,TRICHIURIDAE Trichiurus lepturus,Trichiurus,,provided by Brian Hayden et al. 2018-06-08
3856,trichiurids,Trichiuridae,,provided by Brian Hayden et al. 2018-06-08
3857,Trichocera similis,Trichocera,,provided by Brian Hayden et al. 2018-06-08
3858,Trichocorixia sp.,Trichocorixa sp.,,suspected typo in Hechinger et al 2011; author has been notified
3859,Tricholoma atrosquamosum var. atrosquamosum,Tricholoma atrosquamosum var. atrosquamosum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20atrosquamosum%20var.%20atrosquamosum&spKey=NHMSYS0001500229
3860,Tricholoma atrosquamosum var. squarrulosum,Tricholoma atrosquamosum var. squarrulosum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20atrosquamosum%20var.%20squarrulosum&spKey=NHMSYS0001500230
3861,Tricholoma saponaceum var. lavedanum,Tricholoma saponaceum var. lavedanum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20saponaceum%20var.%20lavedanum&spKey=NHMSYS0001500372
3862,Tricholoma saponaceum var. saponaceum,Tricholoma saponaceum var. saponaceum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20saponaceum%20var.%20saponaceum&spKey=NHMSYS0001500374
3863,Tricholoma saponaceum var. squamosum,Tricholoma saponaceum var. squamosum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20saponaceum%20var.%20squamosum&spKey=NBNSYS0000037400
3864,Tricholoma sulphureum var. sulphureum,Tricholoma sulphureum var. sulphureum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20sulphureum%20var.%20sulphureum&spKey=NHMSYS0020000065
3865,Trichopetra,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3866,trichopteran insect,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3867,trichopterans,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3868,Trichopterans,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3869,trichopteran,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3870,Trichopteran,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3871,Trichopter,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3872,Trichuirus lepturus,Trichiurus lepturus,Padilla Mancera 2005,
3873,Tricolia kochi,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3874,tricopterans,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3875,Tricoptera,Trichoptera,,mapping provided by Brian Hayden
3876,trigger fish,Balistidae,,provided by Brian Hayden et al. 2018-06-08
3877,Triglids,Triglidae,,provided by Brian Hayden et al. 2018-06-08
3878,Trigriopus californicus,Copepoda,,provided by Brian Hayden et al. 2018-06-08
3879,Triplectides obsoleta,Trichoptera,,provided by Brian Hayden et al. 2018-06-08
3880,triplefins,Tripterygiidae,,provided by Brian Hayden et al. 2018-06-08
3881,Tripterygidae,Tripterygiidae,,provided by Brian Hayden et al. 2018-06-08
3882,tripterygiids,Tripterygiidae,,provided by Brian Hayden et al. 2018-06-08
3883,Trisopterus-sp,Trisopterus,,remove non standard -sp notation
3884,Tritonopsis frydis,Tritoniopsis frydis,EOL; js,probably a spelling error or change in spelling by taxonomists
3885,Trlchiurus lepturus,Trichiuridae,,provided by Brian Hayden et al. 2018-06-08
3886,Tropheus,Cichlidae,,provided by Brian Hayden et al. 2018-06-08
3887,trout - jack,salmonidae,,provided by Brian Hayden et al. 2018-06-08
3888,true bug,Paraneoptera,,provided by Brian Hayden et al. 2018-06-08
3889,true bugs,Paraneoptera,,provided by Brian Hayden et al. 2018-06-08
3890,Trypoxylon figulus s.s.,Trypoxylon figulus s.s.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Trypoxylon%20figulus%20s.s.&spKey=NHMSYS0000873272
3891,T. similis,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3892,T. spinifera,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3893,Tstiophoms platypterus,Istiophorus,,provided by Brian Hayden et al. 2018-06-08
3894,tube feet sea urchins,Echinodermata,,provided by Brian Hayden et al. 2018-06-08
3895,tube-like worms,Naididae,,provided by Brian Hayden et al. 2018-06-08
3896,tubeworms,Naididae,,provided by Brian Hayden et al. 2018-06-08
3897,TUBEWORMS,Naididae,,provided by Brian Hayden et al. 2018-06-08
3898,Tubicidae,Naididae,,provided by Brian Hayden et al. 2018-06-08
3899,Tubicifidae,Naididae,,provided by Brian Hayden et al. 2018-06-08
3900,tubiculous worms,Naididae,,provided by Brian Hayden et al. 2018-06-08
3901,tubificid worms,Naididae,,provided by Brian Hayden et al. 2018-06-08
3902,Tubos,Gastropoda,,provided by Brian Hayden et al. 2018-06-08
3903,turbellarians,Platyhelminthes,,provided by Brian Hayden et al. 2018-06-08
3904,Turbo caillettii,Turbo cailletii,EOL; js,probably a spelling error or change in spelling by taxonomists
3905,Turbo scitilius,gastropoda,,provided by Brian Hayden et al. 2018-06-08
3906,turf algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3907,Turridae,Gastropoda,,provided by Brian Hayden et al. 2018-06-08
3908,turritellids,Turritella,,provided by Brian Hayden et al. 2018-06-08
3909,turtle,Testudines,,Term corrected to scientific notation by BrianHayden
3910,twigs,angiosperms,,provided by Brian Hayden et al. 2018-06-08
